Country Name,Country_Code,Indicator Name,Indicator Code,year,GDP_capita
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,57594.12668
Iceland,ISL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,39557.93565
Israel,ISR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,30574.25236
Italy,ITA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,35901.25988
Jamaica,JAM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,8481.245974
Saudi Arabia,SAU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,47474.04338
Japan,JPN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,34315.79841
Kazakhstan,KAZ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,20772.06612
Kenya,KEN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2622.730169
Kyrgyz Republic,KGZ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2920.60321
Cambodia,KHM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2648.650018
Kiribati,KIR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1659.293952
St. Kitts and Nevis,KNA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,20571.9698
"Korea, Rep.",KOR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,31327.1269
Kosovo,KSV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,8222.594135
Oman,OMN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,42479.20132
Latin America & Caribbean (developing only),LAC,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,13154.85114
Lao PDR,LAO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,4233.381248
Turkey,TUR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,17873.69844
Liberia,LBR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,732.6330069
Lebanon,LBN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,16409.25831
St. Lucia,LCA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,10538.22527
Latin America & Caribbean (all income levels),LCN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,14324.74195
Least developed countries: UN classification,LDC,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1959.175532
Low income,LIC,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1403.58239
Liechtenstein,LIE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Sri Lanka,LKA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,8949.312519
Lower middle income,LMC,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,5136.649955
Low & middle income,LMY,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,7587.286165
