date,event,group,value
2012-11-01,battle,IC,0
2012-11-01,barral_bomb,IC,0
2012-11-01,shelling,IC,0
2012-11-01,chemical,IC,0
2012-11-01,massacre,RS,0
2012-11-01,air_strike,RS,1
2012-11-01,battle,RS,0
2012-11-01,barral_bomb,RS,0
2012-11-01,shelling,RS,0
2012-11-01,chemical,RS,0
2012-11-01,massacre,YPG,0
2012-11-01,air_strike,YPG,0
2012-11-01,battle,YPG,0
2012-11-01,barral_bomb,YPG,0
2012-11-01,shelling,YPG,1
2012-11-01,chemical,YPG,0
2012-11-01,massacre,HZB,0
2012-11-01,air_strike,HZB,0
2012-11-01,battle,HZB,0
2012-11-01,barral_bomb,HZB,0
2012-11-01,shelling,HZB,0
2012-11-01,chemical,HZB,0
2012-11-01,massacre,ASS,16
2012-11-01,air_strike,ASS,29
2012-11-01,battle,ASS,0
2012-11-01,barral_bomb,ASS,6
2012-11-01,shelling,ASS,45
2012-11-01,chemical,ASS,0
2012-12-01,massacre,IS,0
2012-12-01,air_strike,IS,0
2012-12-01,battle,IS,0
2012-12-01,barral_bomb,IS,0
2012-12-01,shelling,IS,0
2012-12-01,chemical,IS,0
2012-12-01,massacre,IC,0
2012-12-01,air_strike,IC,0
2012-12-01,battle,IC,0
2012-12-01,barral_bomb,IC,0
2012-12-01,shelling,IC,0
2012-12-01,chemical,IC,0
2012-12-01,massacre,RS,0
2012-12-01,air_strike,RS,0
2012-12-01,battle,RS,0
2012-12-01,barral_bomb,RS,0
2012-12-01,shelling,RS,0
2012-12-01,chemical,RS,0
2012-12-01,massacre,YPG,0
2012-12-01,air_strike,YPG,0
2012-12-01,battle,YPG,0
2012-12-01,barral_bomb,YPG,0
2012-12-01,shelling,YPG,0
2012-12-01,chemical,YPG,0
2012-12-01,massacre,HZB,0
2012-12-01,air_strike,HZB,0
2012-12-01,battle,HZB,0
2012-12-01,barral_bomb,HZB,0
2012-12-01,shelling,HZB,0
2012-12-01,chemical,HZB,0
2012-12-01,massacre,ASS,30
2012-12-01,air_strike,ASS,34
2012-12-01,battle,ASS,2
2012-12-01,barral_bomb,ASS,8
2012-12-01,shelling,ASS,44
2012-12-01,chemical,ASS,1
2013-01-01,massacre,IS,0
2013-01-01,air_strike,IS,0
2013-01-01,battle,IS,0
2013-01-01,barral_bomb,IS,0
2013-01-01,shelling,IS,0
2013-01-01,chemical,IS,0
2013-01-01,massacre,IC,0
2013-01-01,air_strike,IC,0
2013-01-01,battle,IC,0
2013-01-01,barral_bomb,IC,0
2013-01-01,shelling,IC,0
2013-01-01,chemical,IC,0
2013-01-01,massacre,RS,1
2013-01-01,air_strike,RS,0
2013-01-01,battle,RS,0
2013-01-01,barral_bomb,RS,0
2013-01-01,shelling,RS,0
2013-01-01,chemical,RS,0
2013-01-01,massacre,YPG,0
2013-01-01,air_strike,YPG,0
2013-01-01,battle,YPG,0
2013-01-01,barral_bomb,YPG,0
2013-01-01,shelling,YPG,0
2013-01-01,chemical,YPG,0
2013-01-01,massacre,HZB,0
2013-01-01,air_strike,HZB,0
2013-01-01,battle,HZB,0
2013-01-01,barral_bomb,HZB,0
2013-01-01,shelling,HZB,0
2013-01-01,chemical,HZB,0
2013-01-01,massacre,ASS,34
2013-01-01,air_strike,ASS,21
2013-01-01,battle,ASS,3
2013-01-01,barral_bomb,ASS,2
2013-01-01,shelling,ASS,37
2013-01-01,chemical,ASS,0
2013-02-01,massacre,IS,0
2013-02-01,air_strike,IS,0
2013-02-01,battle,IS,0
2013-02-01,barral_bomb,IS,0
2013-02-01,shelling,IS,0
2013-02-01,chemical,IS,0
2013-02-01,massacre,IC,0
2013-02-01,air_strike,IC,0
2013-02-01,battle,IC,0
2013-02-01,barral_bomb,IC,0
2013-02-01,shelling,IC,0
2013-02-01,chemical,IC,0
2013-02-01,massacre,RS,0
2013-02-01,air_strike,RS,0
