,date,event,group,value
435,2012-04-01,massacre,IS,0
436,2012-04-01,shelling,IS,0
437,2012-04-01,battle,IS,0
438,2012-04-01,chemical,IC,0
439,2012-04-01,air_strike,IC,0
440,2012-04-01,barrel_bomb,IC,0
441,2012-04-01,massacre,IC,0
442,2012-04-01,shelling,IC,0
443,2012-04-01,battle,IC,0
444,2012-04-01,chemical,RS,0
445,2012-04-01,air_strike,RS,0
446,2012-04-01,barrel_bomb,RS,0
447,2012-04-01,massacre,RS,0
448,2012-04-01,shelling,RS,0
449,2012-04-01,battle,RS,0
450,2012-04-01,chemical,YPG,0
451,2012-04-01,air_strike,YPG,0
452,2012-04-01,barrel_bomb,YPG,0
453,2012-04-01,massacre,YPG,0
454,2012-04-01,shelling,YPG,0
455,2012-04-01,battle,YPG,0
456,2012-04-01,chemical,HZB,0
457,2012-04-01,air_strike,HZB,0
458,2012-04-01,barrel_bomb,HZB,0
459,2012-04-01,massacre,HZB,0
460,2012-04-01,shelling,HZB,0
461,2012-04-01,battle,HZB,0
462,2012-04-01,chemical,ASS,0
463,2012-04-01,air_strike,ASS,0
464,2012-04-01,barrel_bomb,ASS,0
465,2012-04-01,massacre,ASS,7
466,2012-04-01,shelling,ASS,3
467,2012-04-01,battle,ASS,3
468,2012-05-01,chemical,IS,0
469,2012-05-01,air_strike,IS,0
470,2012-05-01,barrel_bomb,IS,0
471,2012-05-01,massacre,IS,0
472,2012-05-01,shelling,IS,0
473,2012-05-01,battle,IS,0
474,2012-05-01,chemical,IC,0
475,2012-05-01,air_strike,IC,0
476,2012-05-01,barrel_bomb,IC,0
477,2012-05-01,massacre,IC,0
478,2012-05-01,shelling,IC,0
479,2012-05-01,battle,IC,0
480,2012-05-01,chemical,RS,0
481,2012-05-01,air_strike,RS,0
482,2012-05-01,barrel_bomb,RS,0
483,2012-05-01,massacre,RS,0
484,2012-05-01,shelling,RS,0
485,2012-05-01,battle,RS,0
486,2012-05-01,chemical,YPG,0
487,2012-05-01,air_strike,YPG,0
488,2012-05-01,barrel_bomb,YPG,0
489,2012-05-01,massacre,YPG,0
490,2012-05-01,shelling,YPG,0
491,2012-05-01,battle,YPG,0
492,2012-05-01,chemical,HZB,0
493,2012-05-01,air_strike,HZB,0
494,2012-05-01,barrel_bomb,HZB,0
495,2012-05-01,massacre,HZB,0
496,2012-05-01,shelling,HZB,0
497,2012-05-01,battle,HZB,0
498,2012-05-01,chemical,ASS,0
499,2012-05-01,air_strike,ASS,0
500,2012-05-01,barrel_bomb,ASS,0
501,2012-05-01,massacre,ASS,0
502,2012-05-01,shelling,ASS,0
503,2012-05-01,battle,ASS,1
504,2012-06-01,chemical,IS,0
505,2012-06-01,air_strike,IS,0
506,2012-06-01,barrel_bomb,IS,0
507,2012-06-01,massacre,IS,0
508,2012-06-01,shelling,IS,0
509,2012-06-01,battle,IS,0
510,2012-06-01,chemical,IC,0
511,2012-06-01,air_strike,IC,0
512,2012-06-01,barrel_bomb,IC,0
513,2012-06-01,massacre,IC,0
514,2012-06-01,shelling,IC,0
515,2012-06-01,battle,IC,0
516,2012-06-01,chemical,RS,0
517,2012-06-01,air_strike,RS,0
518,2012-06-01,barrel_bomb,RS,0
519,2012-06-01,massacre,RS,0
520,2012-06-01,shelling,RS,1
521,2012-06-01,battle,RS,0
522,2012-06-01,chemical,YPG,0
523,2012-06-01,air_strike,YPG,0
524,2012-06-01,barrel_bomb,YPG,0
525,2012-06-01,massacre,YPG,0
526,2012-06-01,shelling,YPG,0
527,2012-06-01,battle,YPG,0
528,2012-06-01,chemical,HZB,0
529,2012-06-01,air_strike,HZB,0
530,2012-06-01,barrel_bomb,HZB,0
531,2012-06-01,massacre,HZB,0
532,2012-06-01,shelling,HZB,0
533,2012-06-01,battle,HZB,0
534,2012-06-01,chemical,ASS,0
535,2012-06-01,air_strike,ASS,1
536,2012-06-01,barrel_bomb,ASS,0
537,2012-06-01,massacre,ASS,31
538,2012-06-01,shelling,ASS,24
539,2012-06-01,battle,ASS,16
540,2012-07-01,chemical,IS,0
541,2012-07-01,air_strike,IS,0
542,2012-07-01,barrel_bomb,IS,0
543,2012-07-01,massacre,IS,0
544,2012-07-01,shelling,IS,0
545,2012-07-01,battle,IS,0
546,2012-07-01,chemical,IC,0
547,2012-07-01,air_strike,IC,0
548,2012-07-01,barrel_bomb,IC,0
549,2012-07-01,massacre,IC,0
550,2012-07-01,shelling,IC,0
551,2012-07-01,battle,IC,0
552,2012-07-01,chemical,RS,0
553,2012-07-01,air_strike,RS,0
554,2012-07-01,barrel_bomb,RS,0
555,2012-07-01,massacre,RS,2
556,2012-07-01,shelling,RS,2
557,2012-07-01,battle,RS,1
558,2012-07-01,chemical,YPG,0
559,2012-07-01,air_strike,YPG,0
560,2012-07-01,barrel_bomb,YPG,0
561,2012-07-01,massacre,YPG,0
562,2012-07-01,shelling,YPG,0
563,2012-07-01,battle,YPG,0
564,2012-07-01,chemical,HZB,0
565,2012-07-01,air_strike,HZB,0
566,2012-07-01,barrel_bomb,HZB,0
567,2012-07-01,massacre,HZB,0
568,2012-07-01,shelling,HZB,0
569,2012-07-01,battle,HZB,0
570,2012-07-01,chemical,ASS,1
571,2012-07-01,air_strike,ASS,2
572,2012-07-01,barrel_bomb,ASS,0
573,2012-07-01,massacre,ASS,55
574,2012-07-01,shelling,ASS,45
575,2012-07-01,battle,ASS,23
576,2012-08-01,chemical,IS,0
577,2012-08-01,air_strike,IS,0
578,2012-08-01,barrel_bomb,IS,0
579,2012-08-01,massacre,IS,0
580,2012-08-01,shelling,IS,0
581,2012-08-01,battle,IS,0
582,2012-08-01,chemical,IC,0
583,2012-08-01,air_strike,IC,0
584,2012-08-01,barrel_bomb,IC,0
585,2012-08-01,massacre,IC,0
586,2012-08-01,shelling,IC,0
587,2012-08-01,battle,IC,0
588,2012-08-01,chemical,RS,0
589,2012-08-01,air_strike,RS,0
590,2012-08-01,barrel_bomb,RS,0
591,2012-08-01,massacre,RS,1
592,2012-08-01,shelling,RS,1
593,2012-08-01,battle,RS,1
594,2012-08-01,chemical,YPG,0
595,2012-08-01,air_strike,YPG,0
596,2012-08-01,barrel_bomb,YPG,0
597,2012-08-01,massacre,YPG,0
598,2012-08-01,shelling,YPG,0
599,2012-08-01,battle,YPG,0
600,2012-08-01,chemical,HZB,0
601,2012-08-01,air_strike,HZB,0
602,2012-08-01,barrel_bomb,HZB,0
603,2012-08-01,massacre,HZB,0
604,2012-08-01,shelling,HZB,0
605,2012-08-01,battle,HZB,0
606,2012-08-01,chemical,ASS,0
607,2012-08-01,air_strike,ASS,10
608,2012-08-01,barrel_bomb,ASS,0
609,2012-08-01,massacre,ASS,61
610,2012-08-01,shelling,ASS,62
611,2012-08-01,battle,ASS,31
612,2012-09-01,chemical,IS,0
613,2012-09-01,air_strike,IS,0
614,2012-09-01,barrel_bomb,IS,0
615,2012-09-01,massacre,IS,0
616,2012-09-01,shelling,IS,0
617,2012-09-01,battle,IS,0
618,2012-09-01,chemical,IC,0
619,2012-09-01,air_strike,IC,0
620,2012-09-01,barrel_bomb,IC,0
621,2012-09-01,massacre,IC,0
622,2012-09-01,shelling,IC,0
623,2012-09-01,battle,IC,0
624,2012-09-01,chemical,RS,0
625,2012-09-01,air_strike,RS,0
626,2012-09-01,barrel_bomb,RS,0
627,2012-09-01,massacre,RS,0
628,2012-09-01,shelling,RS,1
629,2012-09-01,battle,RS,0
630,2012-09-01,chemical,YPG,0
631,2012-09-01,air_strike,YPG,0
632,2012-09-01,barrel_bomb,YPG,0
633,2012-09-01,massacre,YPG,1
634,2012-09-01,shelling,YPG,0
635,2012-09-01,battle,YPG,1
636,2012-09-01,chemical,HZB,0
637,2012-09-01,air_strike,HZB,0
638,2012-09-01,barrel_bomb,HZB,0
639,2012-09-01,massacre,HZB,0
640,2012-09-01,shelling,HZB,0
641,2012-09-01,battle,HZB,0
642,2012-09-01,chemical,ASS,0
643,2012-09-01,air_strike,ASS,8
644,2012-09-01,barrel_bomb,ASS,0
645,2012-09-01,massacre,ASS,59
646,2012-09-01,shelling,ASS,44
647,2012-09-01,battle,ASS,14
648,2012-10-01,chemical,IS,0
649,2012-10-01,air_strike,IS,0
650,2012-10-01,barrel_bomb,IS,0
651,2012-10-01,massacre,IS,0
652,2012-10-01,shelling,IS,0
653,2012-10-01,battle,IS,0
654,2012-10-01,chemical,IC,0
655,2012-10-01,air_strike,IC,0
656,2012-10-01,barrel_bomb,IC,0
657,2012-10-01,massacre,IC,0
658,2012-10-01,shelling,IC,0
659,2012-10-01,battle,IC,0
660,2012-10-01,chemical,RS,0
661,2012-10-01,air_strike,RS,0
662,2012-10-01,barrel_bomb,RS,0
663,2012-10-01,massacre,RS,0
664,2012-10-01,shelling,RS,2
665,2012-10-01,battle,RS,3
