year,destination,origin,refugees_value,ac_value
2006,Bosnia and Herzegovina,Syrian Arab Rep.,1,3
2007,Bosnia and Herzegovina,Syrian Arab Rep.,1,4
2008,Bosnia and Herzegovina,Syrian Arab Rep.,1,5
2009,Bosnia and Herzegovina,Syrian Arab Rep.,1,6
2010,Bosnia and Herzegovina,Syrian Arab Rep.,1,7
2011,Bosnia and Herzegovina,Syrian Arab Rep.,1,8
2012,Bosnia and Herzegovina,Syrian Arab Rep.,5,13
2013,Bosnia and Herzegovina,Syrian Arab Rep.,48,61
2014,Bosnia and Herzegovina,Syrian Arab Rep.,25,86
2004,Brazil,Syrian Arab Rep.,5,5
2005,Brazil,Syrian Arab Rep.,5,10
2006,Brazil,Syrian Arab Rep.,5,15
2007,Brazil,Syrian Arab Rep.,5,20
2008,Brazil,Syrian Arab Rep.,5,25
2009,Brazil,Syrian Arab Rep.,5,30
2010,Brazil,Syrian Arab Rep.,5,35
2011,Brazil,Syrian Arab Rep.,6,41
2012,Brazil,Syrian Arab Rep.,42,83
2013,Brazil,Syrian Arab Rep.,333,416
2014,Brazil,Syrian Arab Rep.,1739,2155
2004,Bulgaria,Syrian Arab Rep.,72,72
2005,Bulgaria,Syrian Arab Rep.,78,150
2006,Bulgaria,Syrian Arab Rep.,79,229
2007,Bulgaria,Syrian Arab Rep.,85,314
2008,Bulgaria,Syrian Arab Rep.,86,400
2009,Bulgaria,Syrian Arab Rep.,90,490
2010,Bulgaria,Syrian Arab Rep.,95,585
2011,Bulgaria,Syrian Arab Rep.,98,683
2012,Bulgaria,Syrian Arab Rep.,97,780
2013,Bulgaria,Syrian Arab Rep.,2104,2884
2014,Bulgaria,Syrian Arab Rep.,8501,11385
2004,C’‚te d'Ivoire,Syrian Arab Rep.,3,3
2005,C’‚te d'Ivoire,Syrian Arab Rep.,3,6
2006,C’‚te d'Ivoire,Syrian Arab Rep.,3,9
2013,C’‚te d'Ivoire,Syrian Arab Rep.,2,11
2014,C’‚te d'Ivoire,Syrian Arab Rep.,0,11
2012,Cambodia,Syrian Arab Rep.,0,11
2013,Cambodia,Syrian Arab Rep.,0,11
2014,Cambodia,Syrian Arab Rep.,0,11
2012,Cameroon,Syrian Arab Rep.,1,12
2013,Cameroon,Syrian Arab Rep.,1,13
2014,Cameroon,Syrian Arab Rep.,0,13
2004,Canada,Syrian Arab Rep.,459,459
2005,Canada,Syrian Arab Rep.,397,856
2006,Canada,Syrian Arab Rep.,415,1271
2007,Canada,Syrian Arab Rep.,624,1895
2008,Canada,Syrian Arab Rep.,603,2498
2009,Canada,Syrian Arab Rep.,577,3075
2010,Canada,Syrian Arab Rep.,545,3620
2011,Canada,Syrian Arab Rep.,547,4167
2012,Canada,Syrian Arab Rep.,533,4700
2013,Canada,Syrian Arab Rep.,592,5292
2014,Canada,Syrian Arab Rep.,705,5997
2014,Central African Rep.,Syrian Arab Rep.,0,0
2010,Chad,Syrian Arab Rep.,1,1
2011,Chad,Syrian Arab Rep.,3,4
2012,Chad,Syrian Arab Rep.,4,8
2013,Chad,Syrian Arab Rep.,15,23
2014,Chad,Syrian Arab Rep.,15,38
2012,Chile,Syrian Arab Rep.,0,0
2013,Chile,Syrian Arab Rep.,5,5
2014,Chile,Syrian Arab Rep.,6,11
2008,China,Syrian Arab Rep.,0,0
2009,China,Syrian Arab Rep.,0,0
2011,China,Syrian Arab Rep.,0,0
2013,China,Syrian Arab Rep.,0,0
2014,China,Syrian Arab Rep.,5,5
2012,"China, Hong Kong SAR",Syrian Arab Rep.,0,0
2013,"China, Hong Kong SAR",Syrian Arab Rep.,0,0
2014,"China, Hong Kong SAR",Syrian Arab Rep.,0,0
2009,"China, Macao SAR",Syrian Arab Rep.,0,0
2010,"China, Macao SAR",Syrian Arab Rep.,0,0
2011,"China, Macao SAR",Syrian Arab Rep.,0,0
2012,"China, Macao SAR",Syrian Arab Rep.,0,0
2013,"China, Macao SAR",Syrian Arab Rep.,0,0
2014,"China, Macao SAR",Syrian Arab Rep.,0,0
2012,Colombia,Syrian Arab Rep.,1,1
